"","algorithm","iomode","image","nthreads","imsize","media","desv_pad"
"281","pth","withoutIO","elephant",16,16,0.00185,0.000366347548532523
"282","pth","withoutIO","elephant",16,32,0.00195,0.000223606797749979
"283","pth","withoutIO","elephant",16,64,0.0023,0.000470162345981627
"284","pth","withoutIO","elephant",16,128,0.00605,0.000223606797749979
"285","pth","withoutIO","elephant",16,256,0.021,0.00112390297389803
"286","pth","withoutIO","elephant",16,512,0.0805,0.00326867106425773
"287","pth","withoutIO","elephant",16,1024,0.3127,0.00471392115245673
"288","pth","withoutIO","elephant",16,2048,1.23935,0.0248432454020255
"289","pth","withoutIO","elephant",16,4096,4.95575,0.0563960384946915
"290","pth","withoutIO","elephant",16,8192,20.73055,0.132872109068913
"291","pth","withoutIO","elephant",32,16,0.002,0
"292","pth","withoutIO","elephant",32,32,0.002,0
"293","pth","withoutIO","elephant",32,64,0.00265,0.000489360484929593
"294","pth","withoutIO","elephant",32,128,0.0062,0.000410391340834062
"295","pth","withoutIO","elephant",32,256,0.02105,0.000759154654516248
"296","pth","withoutIO","elephant",32,512,0.0815,0.0033166247903554
"297","pth","withoutIO","elephant",32,1024,0.31395,0.00793045429109569
"298","pth","withoutIO","elephant",32,2048,1.24365,0.0296368813616093
"299","pth","withoutIO","elephant",32,4096,4.919,0.0306474005079506
"300","pth","withoutIO","elephant",32,8192,20.65875,0.108786064800309
"301","pth","withoutIO","full",1,16,0.001,0
"302","pth","withoutIO","full",1,32,0.00105,0.000223606797749979
"303","pth","withoutIO","full",1,64,0.002,0
"304","pth","withoutIO","full",1,128,0.00605,0.000223606797749979
"305","pth","withoutIO","full",1,256,0.0211,0.00085224162622679
"306","pth","withoutIO","full",1,512,0.0794,0.00181803827184544
"307","pth","withoutIO","full",1,1024,0.3106,0.00414728827066555
"308","pth","withoutIO","full",1,2048,1.2282,0.0130044526787437
"309","pth","withoutIO","full",1,4096,4.9774,0.117869419274042
"310","pth","withoutIO","full",1,8192,20.77535,0.261361873553448
"311","pth","withoutIO","full",2,16,0.01205,0.0494171023027453
"312","pth","withoutIO","full",2,32,0.001,0
"313","pth","withoutIO","full",2,64,0.002,0
"314","pth","withoutIO","full",2,128,0.0042,0.000410391340834062
"315","pth","withoutIO","full",2,256,0.01385,0.000670820393249937
"316","pth","withoutIO","full",2,512,0.05065,0.00103998987849326
"317","pth","withoutIO","full",2,1024,0.1991,0.0074048348359277
"318","pth","withoutIO","full",2,2048,0.77575,0.00789986675437265
"319","pth","withoutIO","full",2,4096,3.1016,0.0338376930904606
"320","pth","withoutIO","full",2,8192,13.43235,0.159307142932995
"321","pth","withoutIO","full",4,16,0.01195,0.0489698887072454
"322","pth","withoutIO","full",4,32,0.00115,0.000366347548532523
"323","pth","withoutIO","full",4,64,0.002,0
"324","pth","withoutIO","full",4,128,0.0038,0.000410391340834062
"325","pth","withoutIO","full",4,256,0.01015,0.000366347548532523
"326","pth","withoutIO","full",4,512,0.03825,0.00259300678952569
"327","pth","withoutIO","full",4,1024,0.1413,0.00525256829410246
"328","pth","withoutIO","full",4,2048,0.53845,0.00877481443798402
"329","pth","withoutIO","full",4,4096,2.1953,0.0386142869660277
"330","pth","withoutIO","full",4,8192,9.76225,0.180669769993415
"331","pth","withoutIO","full",8,16,0.0112,0.0435002722314531
"332","pth","withoutIO","full",8,32,0.0015,0.000512989176042577
"333","pth","withoutIO","full",8,64,0.0021,0.000307793505625546
"334","pth","withoutIO","full",8,128,0.0032,0.000410391340834062
"335","pth","withoutIO","full",8,256,0.00885,0.000366347548532523
"336","pth","withoutIO","full",8,512,0.0319,0.00210012530954452
"337","pth","withoutIO","full",8,1024,0.11615,0.00319991776210116
"338","pth","withoutIO","full",8,2048,0.4621,0.0152346557835123
"339","pth","withoutIO","full",8,4096,1.8398,0.0361555120642977
"340","pth","withoutIO","full",8,8192,7.9669,0.402773659829726
"341","pth","withoutIO","full",16,16,0.01145,0.0453239509124678
"342","pth","withoutIO","full",16,32,0.0017,0.000732695097065046
"343","pth","withoutIO","full",16,64,0.002,0
"344","pth","withoutIO","full",16,128,0.00305,0.000223606797749979
"345","pth","withoutIO","full",16,256,0.0083,0.000470162345981627
"346","pth","withoutIO","full",16,512,0.03005,0.000825577947481896
"347","pth","withoutIO","full",16,1024,0.1183,0.00439018043029285
"348","pth","withoutIO","full",16,2048,0.45685,0.0116766749052162
"349","pth","withoutIO","full",16,4096,1.82955,0.0264584580049556
"350","pth","withoutIO","full",16,8192,7.95375,0.463823228010527
"351","pth","withoutIO","full",32,16,0.01275,0.0476068051305361
"352","pth","withoutIO","full",32,32,0.002,0
"353","pth","withoutIO","full",32,64,0.002,0
"354","pth","withoutIO","full",32,128,0.00365,0.000489360484929593
"355","pth","withoutIO","full",32,256,0.009,0.000324442842261525
"356","pth","withoutIO","full",32,512,0.031,0.00102597835208515
"357","pth","withoutIO","full",32,1024,0.11575,0.00312671005842781
"358","pth","withoutIO","full",32,2048,0.45545,0.00901738087776804
"359","pth","withoutIO","full",32,4096,1.8118,0.0243258580202436
"360","pth","withoutIO","full",32,8192,7.8634,0.498700986247481
"361","pth","withoutIO","seahorse",1,16,0.001,0
"362","pth","withoutIO","seahorse",1,32,0.00295,0.000223606797749979
"363","pth","withoutIO","seahorse",1,64,0.0078,0.000410391340834062
"364","pth","withoutIO","seahorse",1,128,0.0278,0.000523148363780597
"365","pth","withoutIO","seahorse",1,256,0.10815,0.00175544266422131
"366","pth","withoutIO","seahorse",1,512,0.4249,0.00286356421265527
"367","pth","withoutIO","seahorse",1,1024,1.6916,0.0100336276695185
"368","pth","withoutIO","seahorse",1,2048,6.7482,0.0355270097398111
"369","pth","withoutIO","seahorse",1,4096,27.11045,0.277541552128496
"370","pth","withoutIO","seahorse",1,8192,108.9292,0.41624216129809
"371","pth","withoutIO","seahorse",2,16,0.00105,0.000223606797749979
"372","pth","withoutIO","seahorse",2,32,0.002,0
"373","pth","withoutIO","seahorse",2,64,0.00435,0.000489360484929593
"374","pth","withoutIO","seahorse",2,128,0.0154,0.000502624689950035
"375","pth","withoutIO","seahorse",2,256,0.0572,0.00123969435961577
"376","pth","withoutIO","seahorse",2,512,0.22435,0.00290688837074973
"377","pth","withoutIO","seahorse",2,1024,0.8921,0.00939148550549912
"378","pth","withoutIO","seahorse",2,2048,3.55275,0.0215672143969059
"379","pth","withoutIO","seahorse",2,4096,14.18045,0.0644870243986296
"380","pth","withoutIO","seahorse",2,8192,57.6883,0.292181288352211
"381","pth","withoutIO","seahorse",4,16,0.0011,0.000307793505625546
"382","pth","withoutIO","seahorse",4,32,0.002,0
"383","pth","withoutIO","seahorse",4,64,0.00305,0.000223606797749979
"384","pth","withoutIO","seahorse",4,128,0.00905,0.000223606797749979
"385","pth","withoutIO","seahorse",4,256,0.03215,0.000745159820370595
"386","pth","withoutIO","seahorse",4,512,0.1236,0.00216187053509833
"387","pth","withoutIO","seahorse",4,1024,0.48935,0.00943272578788729
"388","pth","withoutIO","seahorse",4,2048,1.92485,0.0160992807946586
"389","pth","withoutIO","seahorse",4,4096,7.71745,0.0524860633130859
"390","pth","withoutIO","seahorse",4,8192,31.9405,0.204101496938733
"391","pth","withoutIO","seahorse",8,16,0.00165,0.000489360484929593
"392","pth","withoutIO","seahorse",8,32,0.00195,0.000223606797749979
"393","pth","withoutIO","seahorse",8,64,0.00275,0.000444261658319319
"394","pth","withoutIO","seahorse",8,128,0.006,0
"395","pth","withoutIO","seahorse",8,256,0.02015,0.000875093979915421
"396","pth","withoutIO","seahorse",8,512,0.0863,0.00304527243617485
"397","pth","withoutIO","seahorse",8,1024,0.3317,0.0113466897560942
"398","pth","withoutIO","seahorse",8,2048,1.30535,0.0402861802084719
"399","pth","withoutIO","seahorse",8,4096,5.16375,0.0404408274682379
"400","pth","withoutIO","seahorse",8,8192,21.6133,0.124572574492901
"401","pth","withoutIO","seahorse",16,16,0.00185,0.000489360484929593
"402","pth","withoutIO","seahorse",16,32,0.00195,0.000223606797749979
"403","pth","withoutIO","seahorse",16,64,0.0025,0.000512989176042577
"404","pth","withoutIO","seahorse",16,128,0.0061,0.000307793505625546
"405","pth","withoutIO","seahorse",16,256,0.02175,0.00096654566695826
"406","pth","withoutIO","seahorse",16,512,0.0841,0.00457567941460753
"407","pth","withoutIO","seahorse",16,1024,0.32615,0.00765214108324557
"408","pth","withoutIO","seahorse",16,2048,1.28935,0.017487664825603
"409","pth","withoutIO","seahorse",16,4096,5.1551,0.0302357404407432
"410","pth","withoutIO","seahorse",16,8192,21.5263,0.144318762685792
"411","pth","withoutIO","seahorse",32,16,0.002,0
"412","pth","withoutIO","seahorse",32,32,0.0021,0.000447213595499958
"413","pth","withoutIO","seahorse",32,64,0.0028,0.000410391340834062
"414","pth","withoutIO","seahorse",32,128,0.0065,0.000512989176042577
"415","pth","withoutIO","seahorse",32,256,0.02175,0.000786397515657048
"416","pth","withoutIO","seahorse",32,512,0.08495,0.00428553257760155
"417","pth","withoutIO","seahorse",32,1024,0.32845,0.00845094202161106
"418","pth","withoutIO","seahorse",32,2048,1.2949,0.036687729197706
"419","pth","withoutIO","seahorse",32,4096,5.13835,0.0274404139143248
"420","pth","withoutIO","seahorse",32,8192,21.48825,0.0787306367171939
"421","pth","withoutIO","triple_spiral",1,16,0.00185,0.0031165939573093
"422","pth","withoutIO","triple_spiral",1,32,0.003,0
"423","pth","withoutIO","triple_spiral",1,64,0.0085,0.000512989176042577
"424","pth","withoutIO","triple_spiral",1,128,0.03145,0.0006048053188293
"425","pth","withoutIO","triple_spiral",1,256,0.1212,0.00123969435961577
"426","pth","withoutIO","triple_spiral",1,512,0.4806,0.00722131348308967
"427","pth","withoutIO","triple_spiral",1,1024,1.9115,0.0128288326580567
"428","pth","withoutIO","triple_spiral",1,2048,7.62935,0.0408208860369555
"429","pth","withoutIO","triple_spiral",1,4096,30.687,0.294502434982338
"430","pth","withoutIO","triple_spiral",1,8192,122.8707,0.361527621424187
"431","pth","withoutIO","triple_spiral",2,16,0.00105,0.000223606797749979
"432","pth","withoutIO","triple_spiral",2,32,0.002,0
"433","pth","withoutIO","triple_spiral",2,64,0.005,0
"434","pth","withoutIO","triple_spiral",2,128,0.0172,0.000410391340834061
"435","pth","withoutIO","triple_spiral",2,256,0.06465,0.00126802789276976
"436","pth","withoutIO","triple_spiral",2,512,0.25045,0.00184889725312998
"437","pth","withoutIO","triple_spiral",2,1024,0.99865,0.00862844134244418
"438","pth","withoutIO","triple_spiral",2,2048,4.01265,0.020011246837716
"439","pth","withoutIO","triple_spiral",2,4096,16.02675,0.0980987016384923
"440","pth","withoutIO","triple_spiral",2,8192,64.83995,0.315298935014143
"441","pth","withoutIO","triple_spiral",4,16,0.00105,0.000223606797749979
"442","pth","withoutIO","triple_spiral",4,32,0.002,0
"443","pth","withoutIO","triple_spiral",4,64,0.00325,0.000444261658319319
"444","pth","withoutIO","triple_spiral",4,128,0.0102,0.000410391340834061
"445","pth","withoutIO","triple_spiral",4,256,0.03545,0.000686332741153257
"446","pth","withoutIO","triple_spiral",4,512,0.1385,0.00243872270277959
"447","pth","withoutIO","triple_spiral",4,1024,0.5467,0.00864565604341584
"448","pth","withoutIO","triple_spiral",4,2048,2.14925,0.0164280728920761
"449","pth","withoutIO","triple_spiral",4,4096,8.6328,0.0522318716977733
"450","pth","withoutIO","triple_spiral",4,8192,35.50705,0.173732545507227
"451","pth","withoutIO","triple_spiral",8,16,0.00165,0.000489360484929593
"452","pth","withoutIO","triple_spiral",8,32,0.002,0
"453","pth","withoutIO","triple_spiral",8,64,0.00285,0.000366347548532523
"454","pth","withoutIO","triple_spiral",8,128,0.0063,0.000470162345981627
"455","pth","withoutIO","triple_spiral",8,256,0.02255,0.00232775021267996
"456","pth","withoutIO","triple_spiral",8,512,0.0953,0.00367208531032652
"457","pth","withoutIO","triple_spiral",8,1024,0.37215,0.0164101220368149
"458","pth","withoutIO","triple_spiral",8,2048,1.43185,0.0239720780558505
"459","pth","withoutIO","triple_spiral",8,4096,5.72445,0.0480542182824447
"460","pth","withoutIO","triple_spiral",8,8192,23.7791,0.085649776476803
"461","pth","withoutIO","triple_spiral",16,16,0.00165,0.000489360484929593
"462","pth","withoutIO","triple_spiral",16,32,0.00195,0.000223606797749979
"463","pth","withoutIO","triple_spiral",16,64,0.00255,0.00051041778553404
"464","pth","withoutIO","triple_spiral",16,128,0.0069,0.000307793505625546
"465","pth","withoutIO","triple_spiral",16,256,0.02385,0.000988086934168084
"466","pth","withoutIO","triple_spiral",16,512,0.09235,0.0036168465473902
"467","pth","withoutIO","triple_spiral",16,1024,0.36685,0.0113799223010945
"468","pth","withoutIO","triple_spiral",16,2048,1.4232,0.0132609438419348
"469","pth","withoutIO","triple_spiral",16,4096,5.74935,0.14444276775905
"470","pth","withoutIO","triple_spiral",16,8192,23.71125,0.0810703885197108
"471","pth","withoutIO","triple_spiral",32,16,0.002,0
"472","pth","withoutIO","triple_spiral",32,32,0.00205,0.000223606797749979
"473","pth","withoutIO","triple_spiral",32,64,0.0029,0.000307793505625546
"474","pth","withoutIO","triple_spiral",32,128,0.00725,0.000444261658319319
"475","pth","withoutIO","triple_spiral",32,256,0.02455,0.00131689427302111
"476","pth","withoutIO","triple_spiral",32,512,0.09295,0.00351650244898027
"477","pth","withoutIO","triple_spiral",32,1024,0.3609,0.00915883237789162
"478","pth","withoutIO","triple_spiral",32,2048,1.41885,0.00760384251892632
"479","pth","withoutIO","triple_spiral",32,4096,5.692,0.0609495045530573
"480","pth","withoutIO","triple_spiral",32,8192,23.6372,0.0505252412166436
"481","seq","withIO","elephant",1,16,0.001,0
"482","seq","withIO","elephant",1,32,0.0021,0.000307793505625546
"483","seq","withIO","elephant",1,64,0.0071,0.000307793505625546
"484","seq","withIO","elephant",1,128,0.02665,0.00108942283125661
"485","seq","withIO","elephant",1,256,0.10095,0.00366311630345415
"486","seq","withIO","elephant",1,512,0.4,0.00645633104218764
"487","seq","withIO","elephant",1,1024,1.58735,0.017199372693579
"488","seq","withIO","elephant",1,2048,6.31765,0.0216242432176676
"489","seq","withIO","elephant",1,4096,25.45605,0.120172452837797
"490","seq","withIO","elephant",1,8192,102.77355,0.403617389824102
"491","seq","withIO","full",1,16,0.001,0
"492","seq","withIO","full",1,32,0.001,0
"493","seq","withIO","full",1,64,0.002,0
"494","seq","withIO","full",1,128,0.0059,0.000447213595499958
"495","seq","withIO","full",1,256,0.0198,0.000894427190999916
"496","seq","withIO","full",1,512,0.0767,0.00225014619408092
"497","seq","withIO","full",1,1024,0.29925,0.00729004367902589
"498","seq","withIO","full",1,2048,1.18315,0.0133190603430217
"499","seq","withIO","full",1,4096,4.81475,0.0841145052889215
"500","seq","withIO","full",1,8192,20.20105,0.262805005760225
"501","seq","withIO","seahorse",1,16,0.00105,0.000223606797749979
"502","seq","withIO","seahorse",1,32,0.0021,0.000307793505625546
"503","seq","withIO","seahorse",1,64,0.0074,0.000502624689950035
"504","seq","withIO","seahorse",1,128,0.0277,0.00108093526754916
"505","seq","withIO","seahorse",1,256,0.106,0.0012977713690461
"506","seq","withIO","seahorse",1,512,0.42155,0.0049040799340957
"507","seq","withIO","seahorse",1,1024,1.67455,0.00753570448632796
"508","seq","withIO","seahorse",1,2048,6.6803,0.0328523010489453
"509","seq","withIO","seahorse",1,4096,26.8853,0.164853395795365
"510","seq","withIO","seahorse",1,8192,108.46475,0.407022160912258
"511","seq","withIO","triple_spiral",1,16,0.001,0
"512","seq","withIO","triple_spiral",1,32,0.003,0
"513","seq","withIO","triple_spiral",1,64,0.0085,0.000512989176042577
"514","seq","withIO","triple_spiral",1,128,0.0314,0.00114248114115496
"515","seq","withIO","triple_spiral",1,256,0.12015,0.00315018796431679
"516","seq","withIO","triple_spiral",1,512,0.4761,0.00447095892222357
"517","seq","withIO","triple_spiral",1,1024,1.89795,0.0111330470600867
"518","seq","withIO","triple_spiral",1,2048,7.5647,0.02847917059703
"519","seq","withIO","triple_spiral",1,4096,30.39445,0.121665406145838
"520","seq","withIO","triple_spiral",1,8192,122.6533,0.352674607743978
"521","seq","withoutIO","elephant",1,16,0.001,0
"522","seq","withoutIO","elephant",1,32,0.002,0
"523","seq","withoutIO","elephant",1,64,0.007,0
"524","seq","withoutIO","elephant",1,128,0.02455,0.0006048053188293
"525","seq","withoutIO","elephant",1,256,0.095,0.00102597835208515
"526","seq","withoutIO","elephant",1,512,0.3775,0.00326867106425774
"527","seq","withoutIO","elephant",1,1024,1.501,0.00819499205227447
"528","seq","withoutIO","elephant",1,2048,5.99265,0.0228801798851964
"529","seq","withoutIO","elephant",1,4096,24.0004,0.0679027167893041
"530","seq","withoutIO","elephant",1,8192,95.86635,0.195058499996931
"531","seq","withoutIO","full",1,16,0.001,0
"532","seq","withoutIO","full",1,32,0.001,0
"533","seq","withoutIO","full",1,64,0.002,0
"534","seq","withoutIO","full",1,128,0.00405,0.000223606797749979
"535","seq","withoutIO","full",1,256,0.0146,0.00068055704737872
"536","seq","withoutIO","full",1,512,0.0551,0.000718184846459609
"537","seq","withoutIO","full",1,1024,0.21635,0.00215882521659107
"538","seq","withoutIO","full",1,2048,0.8596,0.0074438247101735
"539","seq","withoutIO","full",1,4096,3.42715,0.0221627354382365
"540","seq","withoutIO","full",1,8192,13.6982,0.0864264822962572
"541","seq","withoutIO","seahorse",1,16,0.001,0
"542","seq","withoutIO","seahorse",1,32,0.002,0
"543","seq","withoutIO","seahorse",1,64,0.007,0
"544","seq","withoutIO","seahorse",1,128,0.02605,0.000223606797749979
"545","seq","withoutIO","seahorse",1,256,0.10065,0.00118210338847862
"546","seq","withoutIO","seahorse",1,512,0.4005,0.00322000326904051
"547","seq","withoutIO","seahorse",1,1024,1.59535,0.0118822069543189
"548","seq","withoutIO","seahorse",1,2048,6.3652,0.0251199228962946
"549","seq","withoutIO","seahorse",1,4096,25.46085,0.126905383320762
"550","seq","withoutIO","seahorse",1,8192,101.6449,0.284194133055482
"551","seq","withoutIO","triple_spiral",1,16,0.001,0
"552","seq","withoutIO","triple_spiral",1,32,0.0022,0.000410391340834062
"553","seq","withoutIO","triple_spiral",1,64,0.008,0
"554","seq","withoutIO","triple_spiral",1,128,0.02935,0.000489360484929592
"555","seq","withoutIO","triple_spiral",1,256,0.11435,0.00108942283125661
"556","seq","withoutIO","triple_spiral",1,512,0.4549,0.00319374388453427
"557","seq","withoutIO","triple_spiral",1,1024,1.8239,0.037218982140555
"558","seq","withoutIO","triple_spiral",1,2048,7.24135,0.0260288807208253
"559","seq","withoutIO","triple_spiral",1,4096,29.00035,0.0917509644291776
"560","seq","withoutIO","triple_spiral",1,8192,115.82425,0.257502554918341
